index,title,author,school,sentence_str,original_publication_date,sentences,word.count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,Enchiridion,Epictetus,stoicism,"There are things which are within our power, and there are things which are beyond our power.",125,there are things which are within our power and there are things which are beyond our power,17,0,0,0,0,0,0,0,0,0,0
2,Enchiridion,Epictetus,stoicism,"Within our power are opinion, aim, desire, aversion, and, in one word, whatever affairs are our own.",125,within our power are opinion aim desire aversion and in one word whatever affairs are our own,17,0.058788948,0,0.058788948,0.058788948,0,0,0,0.058788948,0.058788948,0.058788948
3,Enchiridion,Epictetus,stoicism,"Beyond our power are body, property, reputation, office, and, in one word, whatever are not properly our own affairs.",125,beyond our power are body property reputation office and in one word whatever are not properly our own affairs,19,0,0,0,0,0,0,0,0.052603893,0,0.052603893
4,Enchiridion,Epictetus,stoicism,"Now the things within our power are by nature free, unrestricted, unhindered; but those beyond our power are weak, dependent, restricted, alien.",125,now the things within our power are by nature free unrestricted unhindered but those beyond our power are weak dependent restricted alien,22,0,0,0.045433894,0.045433894,0,0,0,0.045433894,0.090867787,0.045433894
5,Enchiridion,Epictetus,stoicism,"Remember, then, that if you attribute freedom to things by nature dependent and take what belongs to others for your own, you will be hindered",125,remember then that if you attribute freedom to things by nature dependent and take what belongs to others for your own you will be hindered,25,0,0,0,0,0.039984006,0,0,0.079968013,0.039984006,0.079968013
6,Enchiridion,Epictetus,stoicism,", you will lament, you will be disturbed, you will find fault both with gods and men.",125,you will lament you will be disturbed you will find fault both with gods and men,16,0.062460962,0,0.062460962,0.062460962,0,0.187382886,0,0,0.187382886,0
7,Enchiridion,Epictetus,stoicism,"But if you take for your own only that which is your own and view what belongs to others just as it really is, then no one will ever compel you, no one will restrict you; you will find fault with no one, you will accuse no one, you will do nothing against your will; no one will hurt you, you will not have an enemy, nor will you suffer any harm.",125,but if you take for your own only that which is your own and view what belongs to others just as it really is then no one will ever compel you no one will restrict you you will find fault with no one you will accuse no one you will do nothing against your will no one will hurt you you will not have an enemy nor will you suffer any harm,72,0.02777392,0,0.01388696,0.04166088,0,0.04166088,0,0,0.083321761,0
8,Enchiridion,Epictetus,stoicism,"Aiming, therefore, at such great things, remember that you must not allow yourself any inclination, however slight, toward the attainment of the others; but that you must entirely quit some of them, and for the present postpone the rest.",125,aiming therefore at such great things remember that you must not allow yourself any inclination however slight toward the attainment of the others but that you must entirely quit some of them and for the present postpone the rest,39,0,0.025634453,0,0,0.025634453,0,0.025634453,0.025634453,0.025634453,0.076903358
9,Enchiridion,Epictetus,stoicism,"But if you would have these, and possess power and wealth likewise, you may miss the latter in seeking the former; and you will certainly fail of that by which alone happiness and freedom are procured.",125,but if you would have these and possess power and wealth likewise you may miss the latter in seeking the former and you will certainly fail of that by which alone happiness and freedom are procured,36,0,0.055540128,0,0,0.111080255,0,0,0.083310192,0,0.111080255
10,Enchiridion,Epictetus,stoicism,"Seek at once, therefore, to be able to say to every unpleasing semblance, 'You are but a semblance and by no means the real thing.'",125,seek at once therefore to be able to say to every unpleasing semblance you are but semblance and by no means the real thing,24,0,0.041649313,0,0,0,0,0,0.041649313,0,0.041649313
11,Enchiridion,Epictetus,stoicism,"And then examine it by those rules which you have; and first and chiefly by this: whether it concerns the things which are within our own power or those which are not; and if it concerns anything beyond our power, be prepared to say that it is nothing to you.",125,and then examine it by those rules which you have and first and chiefly by this whether it concerns the things which are within our own power or those which are not and if it concerns anything beyond our power be prepared to say that it is nothing to you,50,0,0.019996001,0,0,0,0,0,0.019996001,0,0.019996001
12,Enchiridion,Epictetus,stoicism,Remember that desire demands the attainment of that of which you are desirous; and aversion demands the avoidance of that to which you are averse; that he who fails of the object of his desires is disappointed; and he who incurs the object of his aversion is wretched.,125,remember that desire demands the attainment of that of which you are desirous and aversion demands the avoidance of that to which you are averse that he who fails of the object of his desires is disappointed and he who incurs the object of his aversion is wretched,48,0.062486982,0,0.083315976,0.062486982,0,0.041657988,0,0,0.10414497,0.041657988
13,Enchiridion,Epictetus,stoicism,"If, then, you shun only those undesirable things which you can control, you will never incur anything which you shun; but if you shun sickness, or death, or poverty, you will run the risk of wretchedness.",125,if then you shun only those undesirable things which you can control you will never incur anything which you shun but if you shun sickness or death or poverty you will run the risk of wretchedness,36,0.111080255,0.055540128,0.138850319,0.138850319,0,0.138850319,0.027770064,0,0.194390447,0
14,Enchiridion,Epictetus,stoicism,"Remove the habit of aversion, then, from all things that are not within our power, and apply it to things undesirable which are within our power.",125,remove the habit of aversion then from all things that are not within our power and apply it to things undesirable which are within our power,26,0.115340254,0,0.076893502,0.115340254,0,0.076893502,0,0,0.115340254,0
15,Enchiridion,Epictetus,stoicism,"But for the present, altogether restrain desire; for if you desire any of the things not within our own power, you must necessarily be disappointed; and you are not yet secure of those which are within our power, and so are legitimate objects of desire.",125,but for the present altogether restrain desire for if you desire any of the things not within our own power you must necessarily be disappointed and you are not yet secure of those which are within our power and so are legitimate objects of desire,45,0.04443457,0.022217285,0.022217285,0.022217285,0.022217285,0.022217285,0.022217285,0.022217285,0.04443457,0.022217285
16,Enchiridion,Epictetus,stoicism,"Where it is practically necessary for you to pursue or avoid anything, do even this with discretion and gentleness and moderation.",125,where it is practically necessary for you to pursue or avoid anything do even this with discretion and gentleness and moderation,21,0,0.047596383,0,0.047596383,0,0,0,0.047596383,0.047596383,0.095192765
17,Enchiridion,Epictetus,stoicism,"With regard to whatever objects either delight the mind or contribute to use or are tenderly beloved, remind yourself of what nature they are, beginning with the merest trifles: if you have a favorite cup, that it is but a cup of which you are fond of for thus, if it is broken, you can bear it; if you embrace your child or your wife, that you embrace a mortal and thus, if either of them dies, you can bear it.",125,with regard to whatever objects either delight the mind or contribute to use or are tenderly beloved remind yourself of what nature they are beginning with the merest trifles if you have favorite cup that it is but cup of which you are fond of for thus if it is broken you can bear it if you embrace your child or your wife that you embrace mortal and thus if either of them dies you can bear it,78,0.025637739,0.038456608,0,0.025637739,0.051275478,0.012818869,0.012818869,0.025637739,0.025637739,0.064094347
18,Enchiridion,Epictetus,stoicism,"When you set about any action, remind yourself of what nature the action is.",125,when you set about any action remind yourself of what nature the action is,14,0,0,0,0,0,0,0,0,0,0.071377587
19,Enchiridion,Epictetus,stoicism,"If you are going to bathe, represent to yourself the incidents usual in the bath some persons pouring out, others pushing in, others scolding, others pilfering.",125,if you are going to bathe represent to yourself the incidents usual in the bath some persons pouring out others pushing in others scolding others pilfering,26,0.038446751,0,0,0,0,0,0,0.038446751,0.038446751,0.076893502
20,Enchiridion,Epictetus,stoicism,"And thus you will more safely go about this action if you say to yourself, 'I will now go to bathe and keep my own will in harmony with nature.'",125,and thus you will more safely go about this action if you say to yourself will now go to bathe and keep my own will in harmony with nature,29,0,0,0,0,0.034470872,0,0,0.034470872,0,0.068941744
21,Enchiridion,Epictetus,stoicism,And so with regard to every other action.,125,and so with regard to every other action,8,0,0,0,0,0,0,0,0,0,0.124843945
22,Enchiridion,Epictetus,stoicism,"For thus, if any impediment arises in bathing, you will be able to say, 'It was not only to bathe that I desired, but to keep my will in harmony with nature; and I shall not keep it thus if I am out of humor at things that happen.'",125,for thus if any impediment arises in bathing you will be able to say it was not only to bathe that desired but to keep my will in harmony with nature and shall not keep it thus if am out of humor at things that happen,46,0,0.021734406,0,0,0.021734406,0,0,0.021734406,0,0.021734406
23,Enchiridion,Epictetus,stoicism,"Men are disturbed not by things, but by the views which they take of things.",125,men are disturbed not by things but by the views which they take of things,15,0.066622252,0,0,0,0,0.066622252,0,0,0.066622252,0
24,Enchiridion,Epictetus,stoicism,"Thus death is nothing terrible, else it would have appeared so to Socrates.",125,thus death is nothing terrible else it would have appeared so to socrates,13,0.153727902,0.076863951,0.153727902,0.153727902,0,0.153727902,0.076863951,0,0.153727902,0
25,Enchiridion,Epictetus,stoicism,"But the terror consists in our notion of death, that it is terrible.",125,but the terror consists in our notion of death that it is terrible,13,0.153727902,0.076863951,0.153727902,0.230591852,0,0.153727902,0.076863951,0,0.230591852,0.076863951
26,Enchiridion,Epictetus,stoicism,"When, therefore, we are hindered or disturbed, or grieved, let us never impute it to others, but to ourselves that is, to our own views.",125,when therefore we are hindered or disturbed or grieved let us never impute it to others but to ourselves that is to our own views,25,0.039984006,0,0,0,0,0.039984006,0,0,0.039984006,0
27,Enchiridion,Epictetus,stoicism,"It is the action of an uninstructed person to reproach others for his own misfortunes; of one entering upon instruction, to reproach himself; and one perfectly instructed, to reproach neither others nor himself.",125,it is the action of an uninstructed person to reproach others for his own misfortunes of one entering upon instruction to reproach himself and one perfectly instructed to reproach neither others nor himself,33,0.03029385,0,0.03029385,0,0,0.03029385,0,0.03029385,0.03029385,0.060587701
28,Enchiridion,Epictetus,stoicism,Be not elated at any excellence not your own.,125,be not elated at any excellence not your own,9,0,0,0.110987791,0,0.221975583,0,0,0.110987791,0,0.221975583
29,Enchiridion,Epictetus,stoicism,"If a horse should be elated, and say, 'I am handsome,' it might be endurable.",125,if horse should be elated and say am handsome it might be endurable,13,0,0,0,0,0.076863951,0,0,0.076863951,0,0.076863951
30,Enchiridion,Epictetus,stoicism,"But when you are elated and say, 'I have a handsome horse,' know that you are elated only on the merit of the horse.",125,but when you are elated and say have handsome horse know that you are elated only on the merit of the horse,22,0,0,0,0,0.045433894,0,0,0.090867787,0,0.090867787
31,Enchiridion,Epictetus,stoicism,What then is your own?,125,what then is your own,5,0,0,0,0,0,0,0,0,0,0
32,Enchiridion,Epictetus,stoicism,The use of the phenomena of existence.,125,the use of the phenomena of existence,7,0,0,0,0,0,0,0,0,0,0.142653352
33,Enchiridion,Epictetus,stoicism,"So that when you are in harmony with nature in this respect, you will be elated with some reason; for you will be elated at some good of your own.",125,so that when you are in harmony with nature in this respect you will be elated with some reason for you will be elated at some good of your own,30,0,0.066644452,0,0,0.133288904,0,0.033322226,0.099966678,0,0.16661113
34,Enchiridion,Epictetus,stoicism,"As in a voyage, when the ship is at anchor, if you go on shore to get water, you may amuse yourself with picking up a shellfish or a truffle in your way, but your thoughts ought to be bent toward the ship, and perpetually attentive, lest the captain should call, and then you must leave all these things, that you may not have to be carried on board the vessel, bound like a sheep",125,as in voyage when the ship is at anchor if you go on shore to get water you may amuse yourself with picking up shellfish or truffle in your way but your thoughts ought to be bent toward the ship and perpetually attentive lest the captain should call and then you must leave all these things that you may not have to be carried on board the vessel bound like sheep,71,0,0.042247571,0,0,0.014082524,0.014082524,0.014082524,0.014082524,0.028165047,0.056330094
35,Enchiridion,Epictetus,stoicism,"; thus likewise in life, if, instead of a truffle or shellfish, such a thing as a wife or a child be granted you, there is no objection; but if the captain calls, run to the ship, leave all these things, and never look behind.",125,thus likewise in life if instead of truffle or shellfish such thing as wife or child be granted you there is no objection but if the captain calls run to the ship leave all these things and never look behind,40,0.024993752,0.074981255,0,0,0.024993752,0.024993752,0.024993752,0.024993752,0.074981255,0.074981255
36,Enchiridion,Epictetus,stoicism,"But if you are old, never go far from the ship, lest you should be missing when called for.",125,but if you are old never go far from the ship lest you should be missing when called for,19,0,0.052603893,0,0.052603893,0,0.052603893,0,0,0.052603893,0
37,Enchiridion,Epictetus,stoicism,"Demand not that events should happen as you wish; but wish them to happen as they do happen, and you will go on well.",125,demand not that events should happen as you wish but wish them to happen as they do happen and you will go on well,24,0.041649313,0.041649313,0,0,0,0,0,0,0.041649313,0
38,Enchiridion,Epictetus,stoicism,"Sickness is an impediment to the body, but not to the will unless itself pleases.",125,sickness is an impediment to the body but not to the will unless itself pleases,15,0,0,0.066622252,0.066622252,0,0.066622252,0,0,0.066622252,0
39,Enchiridion,Epictetus,stoicism,"Lameness is an impediment to the leg, but not to the will; and say this to yourself with regard to everything that happens.",125,lameness is an impediment to the leg but not to the will and say this to yourself with regard to everything that happens,23,0,0,0,0,0,0,0,0,0,0
40,Enchiridion,Epictetus,stoicism,"For you will find it to be an impediment to something else, but not truly to yourself.",125,for you will find it to be an impediment to something else but not truly to yourself,17,0,0,0,0,0,0,0,0,0,0
41,Enchiridion,Epictetus,stoicism,"Upon every accident, remember to turn toward yourself and inquire what faculty you have for its use.",125,upon every accident remember to turn toward yourself and inquire what faculty you have for its use,17,0,0,0,0.058788948,0,0.058788948,0.058788948,0.058788948,0.058788948,0.058788948
42,Enchiridion,Epictetus,stoicism,"If you encounter a handsome person, you will find continence the faculty needed; if pain, then fortitude; if reviling, then patience.",125,if you encounter handsome person you will find continence the faculty needed if pain then fortitude if reviling then patience,20,0,0.049975012,0,0.049975012,0.049975012,0.049975012,0,0.149925037,0.049975012,0.149925037
43,Enchiridion,Epictetus,stoicism,"And when thus habituated, the phenomena of existence will not overwhelm you.",125,and when thus habituated the phenomena of existence will not overwhelm you,12,0,0,0,0,0,0,0,0,0.083263947,0.083263947
44,Enchiridion,Epictetus,stoicism,"Never say of anything, 'I have lost it,' but, 'I have restored it.'",125,never say of anything have lost it but have restored it,11,0,0,0,0,0,0.090826521,0,0,0.090826521,0
45,Enchiridion,Epictetus,stoicism,Has your child died?,125,has your child died,4,0,0.249376559,0,0,0.249376559,0,0,0,0,0.249376559
46,Enchiridion,Epictetus,stoicism,Has your estate been taken away?,125,has your estate been taken away,6,0,0,0,0,0,0,0,0,0,0
47,Enchiridion,Epictetus,stoicism,That likewise is restored. ',125,that likewise is restored,4,0,0,0,0,0,0,0,0,0,0
48,Enchiridion,Epictetus,stoicism,But it was a bad man who took it.',125,but it was bad man who took it,8,0.124843945,0,0.124843945,0.124843945,0,0.124843945,0,0,0.124843945,0
49,Enchiridion,Epictetus,stoicism,What is it to you by whose hands he who gave it has demanded it again?,125,what is it to you by whose hands he who gave it has demanded it again,16,0,0,0,0,0,0,0,0,0,0
50,Enchiridion,Epictetus,stoicism,"While he permits you to possess it, hold it as something not your own, as do travelers at an inn.",125,while he permits you to possess it hold it as something not your own as do travelers at an inn,20,0,0.049975012,0,0,0.049975012,0,0,0.049975012,0,0.049975012
51,Enchiridion,Epictetus,stoicism,"you would improve, lay aside such reasonings as these: 'If I neglect my affairs, I shall not have a maintenance; if I do not punish my servant, he will be good for nothing.'",125,you would improve lay aside such reasonings as these if neglect my affairs shall not have maintenance if do not punish my servant he will be good for nothing,29,0,0.068941744,0,0.034470872,0.068941744,0,0.034470872,0.137883488,0.103412616,0.068941744
